Date,Close
1/4/2016,52.4
1/5/2016,52.07
1/6/2016,50.84
1/7/2016,49.87
1/8/2016,49.48
1/11/2016,49.46
1/12/2016,49.75
1/13/2016,48.2
1/14/2016,48.41
1/15/2016,46.11
1/19/2016,46.29
1/20/2016,45.26
1/21/2016,46.77
1/22/2016,48.97
1/25/2016,46.97
1/26/2016,48.01
1/27/2016,48.64
1/28/2016,50.55
1/29/2016,51.24
2/1/2016,51.16
2/2/2016,49.94
2/3/2016,50.9
2/4/2016,51.64
2/5/2016,51.17
2/8/2016,49.75
2/9/2016,48.73
2/10/2016,47.51
2/11/2016,46.7
2/12/2016,49.06
2/16/2016,50.01
2/17/2016,51.71
2/18/2016,51.64
2/19/2016,51.75
2/22/2016,51.55
2/23/2016,50.58
2/24/2016,49.51
2/25/2016,50
2/26/2016,50.59
2/29/2016,50.97
3/1/2016,52.23
3/2/2016,52.21
3/3/2016,52.81
3/4/2016,53.6
3/7/2016,54.39
3/8/2016,54.13
3/9/2016,55.24
3/10/2016,54.91
3/11/2016,56.07
3/14/2016,55.95
3/15/2016,55.83
3/16/2016,56.84
3/17/2016,58.35
3/18/2016,57.66
3/21/2016,57.57
3/22/2016,57.45
3/23/2016,56.69
3/24/2016,55.85
3/28/2016,56.69
3/29/2016,57.25
3/30/2016,58.25
3/31/2016,57.56
4/1/2016,57.68
4/4/2016,57.19
4/5/2016,56.34
4/6/2016,56.41
4/7/2016,56.01
4/8/2016,57.62
4/11/2016,58.06
4/12/2016,59.38
4/13/2016,59.95
4/14/2016,60.19
4/15/2016,60.42
4/18/2016,60.78
4/19/2016,61.86
4/20/2016,62.23
4/21/2016,60.85
4/22/2016,61.26
4/25/2016,60.96
4/26/2016,61.67
4/27/2016,61.79
4/28/2016,61.97
4/29/2016,62.12
5/2/2016,61.97
5/3/2016,59.91
5/4/2016,58.8
5/5/2016,58.79
5/6/2016,58.95
5/9/2016,58.35
5/10/2016,59.34
5/11/2016,59.58
5/12/2016,59.97
5/13/2016,59.37
5/16/2016,59.76
5/17/2016,59.53
5/18/2016,60
5/19/2016,59.17
5/20/2016,59.34
5/23/2016,59.4
5/24/2016,59.74
5/25/2016,60.89
5/26/2016,61.73
5/27/2016,61.85
5/31/2016,60.21
6/1/2016,60.57
6/2/2016,60.78
6/3/2016,61.28
6/6/2016,61.9
6/7/2016,62.64
6/8/2016,62.78
